feature,perm_importance_mean_all,perm_importance_std_all
volatility_10,0.004012036108325001,0.0016783551184234302
return_lag_3,0.003811434302908745,0.002721095279087363
Price,0.0026078234704112525,0.001501166454071782
Vol.,0.0026078234704112525,0.0008024072216649997
High,0.002407221664995007,0.0010228725202793938
volume_change,0.002407221664995007,0.00345128395869313
Open,0.0022066198595787623,0.000982744129501779
return_lag_1,0.001805416248746261,0.0013306418416671704
ma_10,0.001604814443330016,0.0016296967712409191
return_1d,0.0014042126379137597,0.0010228725202793916
Change %,0.0006018054162487685,0.0025845734657422483
Low,2.2204460492503132e-17,0.0014184689692809352
volatility_5,1.1102230246251566e-17,0.0020060180541624896
ma_20,1.1102230246251566e-17,0.0022872124876612567
ma_5,-0.0008024072216649802,0.001474116194252668
return_lag_5,-0.0014042126379137266,0.003941200141301605
