feature,perm_importance_mean_error_weighted,perm_importance_std_error_weighted
Price,6.611570247933019e-05,0.0013614056384776195
volatility_10,-0.0002644628099173596,0.0014694949270011857
Vol.,-0.000727272727272732,0.0006742505141940926
Open,-0.0019173553719008362,0.0017036824762611752
High,-0.002644628099173557,0.0019724210102712416
ma_10,-0.005289256198347109,0.0026197173892441596
return_lag_3,-0.005355371900826455,0.0023505968706950303
ma_20,-0.005818181818181828,0.002198782036140948
ma_5,-0.006082644628099182,0.0021788108500210394
volatility_5,-0.007404958677685957,0.0009256198347107407
Low,-0.008462809917355374,0.0018058182193385322
return_lag_1,-0.010247933884297528,0.002232323043455745
return_1d,-0.012231404958677694,0.0022225105869714606
Change %,-0.015669421487603315,0.0026495821367952185
volume_change,-0.016396694214876033,0.004530734994779978
return_lag_5,-0.017388429752066125,0.004761248763606962
